epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1956.58,1.46974,2.32979,1.96367,0.43584,0.48552,0.41561,0.16629,1.90038,2.23032,2.33561,0.000665537,0.000665537,0.000665537
2,3852.26,1.58918,1.80266,2.06765,0.40599,0.41046,0.35589,0.11496,2.17171,2.29055,2.55116,0.00120032,0.00120032,0.00120032
3,5815.87,1.55563,1.69881,2.03333,0.50219,0.55658,0.51991,0.22762,1.84045,1.76579,2.18158,0.00160309,0.00160309,0.00160309
4,7739.29,1.49502,1.58466,1.97451,0.59931,0.59063,0.60062,0.2546,1.86227,1.77141,2.2416,0.001406,0.001406,0.001406
5,9613.09,1.43099,1.44995,1.8952,0.62559,0.64182,0.66716,0.3203,1.71166,1.43646,1.99817,0.001208,0.001208,0.001208
6,11485.1,1.35326,1.31972,1.83607,0.73582,0.68521,0.74598,0.33242,1.78927,1.36024,2.07077,0.00101,0.00101,0.00101
7,13358.9,1.29646,1.21672,1.77618,0.76434,0.69967,0.78023,0.36722,1.72862,1.2685,2.01667,0.000812,0.000812,0.000812
8,15233.8,1.23776,1.11256,1.72731,0.76349,0.75049,0.79386,0.38906,1.67665,1.21032,1.96884,0.000614,0.000614,0.000614
9,17103.8,1.18321,1.03383,1.66835,0.78545,0.75195,0.82583,0.42188,1.64912,1.10687,1.90855,0.000416,0.000416,0.000416
10,18976.7,1.13096,0.9505,1.61831,0.77609,0.79644,0.84558,0.46066,1.50922,1.027,1.78914,0.000218,0.000218,0.000218
